source,complaint_description,total_requests
External Interface,Public Health - Graffiti Abatement,33
E-Mail,Animal Control - Assistance Request,33
Phone,SBO - Roadway Spillage,33
Phone,AFD - Wildfire Concern / Presentation,33
E-Mail,DSD - Environmental Complaint,33
Web,ATD - School Zone Beacon - Maintenance,33
External Interface,Austin Code - Short Term Rental Complaint SR,32
Mobile Device,WPD - Drainage Pond Maintenance,32
Phone,Valet Permit - ROW,32
Web,Creek & Pond Vegetation Control,32
Spot311 Interface,HPD - Neighborhood Home Programs,32
Web,Park Maintenance - Building Plumbing Issues,32
Web,ATD - Street Name Sign Maintenance,31
E-Mail,APH - Graffiti Abatement - Public Property,31
Mobile Device,Animal Protection - Animal Proper Care,31
E-Mail,View Obstruction at Intersection,31
E-Mail,Road Markings/Striping - New,31
Spot311 Interface,PWD - Mowing Medians,31
Web,WPD - Watershed Grow Zone Issues,31
Other,ARR - Dead Animal Collection,31
Spot311 Interface,ERM - Harmful Algae,30
Mobile Device,Street Resurfacing,30
Spot311 Interface,SBO - Street Resurfacing,30
Web,DSD - Short Term Rental Complaint,30
E-Mail,Park Maintenance - Grounds Electrical Issues,30
Spot311 Interface,Tree Issue ROW/Maintenance (PARD),30
Other,Pothole Repair,30
Spot311 Interface,CPIO - Community Engagement Project Feedback,30
CSR - Follow On SR,ARR Missed Recycling,30
Web,WPD - Ditch/Driveway Pipe Services,30
E-Mail,Sign - Traffic Sign Maintenance,30
Phone,ZZ Mowing City Parks,29
Open311,Sign - Traffic Sign Maintenance,29
External Interface,Sign - Traffic Sign Maintenance,29
Web,Animal Control - Assistance Request,29
Phone,ZZZ ARR Dead Animal Collection,29
E-Mail,Bicycle Issues,29
Field Request,Sign - New,29
Web,TARA - Telecommunication Complaint,29
Spot311 Interface,SBO - Curb/Gutter Repair,28
Phone,ATD - Traffic Signal - Modification,28
E-Mail,ATD - Traffic Signal - Maintenance,28
Phone,ATD - Bicycle & Pedestrian Issues,28
E-Mail,ACD - Case Updates/Code Connect Messages,28
E-Mail,ATD - Construction Items in Right of Way,28
Phone,WPD - Lady Bird Lake Debris Issues,26
Mobile Created,Austin Code - Request Code Officer,26
E-Mail,PWD - Tree Issue Right of Way,26
Spot311 Interface,Animal Protection - Injured/Sick Animal,26
Mobile Device,AW - Water Waste Report,26
Phone,PARD - Aquatic Program Inquiries,26
Mobile Device,ATD - Parking Sign Maintenance,25
CSR - Follow On SR,Austin Code - Request Code Officer,25
Open311,Park Maintenance - Grounds,25
Mobile Device,Sign - Street Name,25
Spot311 Interface,PW - School Zone - New/Review/Changes,25
Spot311 Interface,Park Maintenance - Building A/C & Heating Issues,25
Mobile Device,ATD - Bicycle &amp; Pedestrian Issues,24
Mobile Device,Sign - Parking Sign Maintenance,24
E-Mail,Park Maintenance - Grounds Plumbing Issues,24
Other,Obstruction in ROW,24
E-Mail,Loose Dog,24
E-Mail,Public Health - Environmental Services - City,24
E-Mail,APH - Environmental Health Services - City,24
Spot311 Interface,SBO - Guardrail New/Repair,24
Phone,ERM - Harmful Algae,23
Mobile Device,Sign - School Zone Sign Maintenance,23
E-Mail,Mowing City Parks,23
Spot311 Interface,Animal Protection - Coyote Complaints,23
Web,DSD - Follow-Up,23
Open311,Austin Code - Request Code Officer,23
Spot311 Interface,Road Markings/Striping - Maintenance,23
Web,PW - School Issues - Crossing Guards,23
CSR - Follow On SR,Obstruction - Urban Forestry,22
Phone,Newspaper Rack- ROW,22
Web,Water Theft Report,22
E-Mail,SBO - New Sidewalk/Curb Ramp/Route,22
Web,Debris in Street,22
Mobile Created,311 CC - Other,22
Phone,LeadSmart Program,22
E-Mail,ATD - Parking Machine Issue,21
Phone,Animal Protection - Animal Roadside Sales,21
E-Mail,ATD - Traffic Signal Maintenance,21
Phone,ZZ Creek & Pond Vegetation Control,21
Spot311 Interface,SBO - Alley & Unpaved Street Maintenance,21
E-Mail,Loud Commercial Music,21
Web,Park Maintenance - Building Electrical Issues,21
E-Mail,SBO - Obstruction in Right of Way,20
E-Mail,Parking Machine Issue,20
Web,SBO - Curb/Gutter Repair,20
Web,Parking Ticket Complaint,20
Spot311 Interface,Park Maintenance - Cemeteries,20
E-Mail,SBO - Pavement Failure,20
Spot311 Interface,APD - Non Emergency Hands Free Violation,20
Phone,Obstruction - Urban Forestry,20
Web,ARR Street Sweeping,19
Spot311 Interface,Traffic Signal - New/Change,19
E-Mail,ATD - Traffic Sign Emergency,19
Other,Concerns in the ROW,19
Web,PW - School Zone - New/Review/Changes,19
Mobile Device,ATD - Traffic Sign Emergency,19
CSR - Follow On SR,Animal Control - Assistance Request,19
Other,Creek & Pond Vegetation Control,19
Field Request,AW - Water Waste Report,19
Other,Street Light Issue- Address,19
Web,WPD - Flooding Current,18
E-Mail,ATD - Road Markings/Striping - New,18
E-Mail,SBO - Pothole Repair,18
Other,ARR Street Sweeping,18
Mobile Device,WPD - Storm Drain Services,18
E-Mail,ARR - Street Sweeping,18
Spot311 Interface,ATD - View Obstruction and Fencing at Intersection,18
Web,ATD - Special Event,18
Mobile Device,ATD - Traffic Signal - Maintenance,18
Phone,Guardrail - New,18
Mobile Device,ARR Dead Animal Collection,18
Mobile Device,Standing Water,17
E-Mail,Sign - Traffic Sign Emergency,17
E-Mail,WPD - Drainage Pond Maintenance,17
Open311,Water Waste Report,17
Mobile Created,Street Light Issue- Address,17
Spot311 Interface,Sign - Traffic Sign Emergency,17
E-Mail,ATD - View Obstruction and Fencing at Intersection,17
Mobile Created,Park Maintenance - Grounds,17
Field Request,AW - Water Conservation Violation,17
Phone,Park Maintenance - Building A/C &amp; Heating Issues,17
Spot311 Interface,SBO - Utility Cut Repair,17
E-Mail,DSD - Outdoor Commercial Venue Music Complaint,17
E-Mail,ATD - Traffic Signal - New/Modification,17
Spot311 Interface,PARD - Aquatic Inquiries/Issues,17
CSR - Follow On SR,Street Light Issue- Address,17
Spot311 Interface,Tree Issue ROW/Maintenance (PW),17
Mobile Device,Parking Violation Enforcement,16
Mobile Device,Park Maintenance - Building Issues,16
Web,WPD - Erosion,16
Web,ZZ AFD - Fireworks Complaint,16
E-Mail,Creek & Pond Vegetation Control,16
Web,Ordinance Single-Use Carryout Bags,16
Open311,Sign - New,16
Phone,Flooding - Storms During Business Hours,16
E-Mail,ACD - Short Term Rental Complaint,16
Other,Pavement Failure,16
Mobile Device,SBO - Pavement Failure,16
Web,ATD - Traffic Signal - Modification,16
Web,ATD - School Zone Sign Maintenance,16
Spot311 Interface,APH - Environmental Health Services - County,16
E-Mail,WPD - Standing Water,16
Phone,HSEM - Heat Advisory,16
E-Mail,Mowing Medians,16
E-Mail,APH - Community Connections Coronavirus,15
Web,Animal Protection - Loose Dog,15
Web,CPIO - Community Voices,15
E-Mail,TARA - Telecommunication Complaint,15
E-Mail,SBO - Sidewalk Repair,15
Open311,ARR Dead Animal Collection,15
Other,Guardrail New/Repair,15
External Interface,Sign - New,15
Web,Pet Resource Center - Assistance Request,15
E-Mail,Alley & Unpaved Street Maintenance,15
E-Mail,Road Markings/Striping - Maintenance,15
Mobile Device,WPD - Standing Water,15
E-Mail,Street Resurfacing,15
Web,HPD - Neighborhood Home Programs,15
Other,ATD - Traffic Sign Maintenance,15
Phone,ZZ ATD - Parking Machine Issue,14
Spot311 Interface,Animal Protection - Dog Restraint Issues,14
Web,AFD - Wildfire Education,14
E-Mail,Sidewalk/Curb Ramp/Route - NEW,14
Web,ATD - Traffic Sign Emergency,14
Open311,ARR Street Sweeping,14
E-Mail,ATD - Lane/Road Closure Notification,14
Spot311 Interface,Alley & Unpaved Street Maintenance,14
E-Mail,WPD - Storm Drain Services,14
Spot311 Interface,ATD - Traffic Signal Maintenance,14
Mobile Device,Speed Limit - Changes/Signs,14
Spot311 Interface,Sidewalk/Curb Ramp/Route - NEW,14
E-Mail,Animal Protection - Loose Dog,14
Mobile Device,Loose Dog,14
Web,ACD - Construction Rest Break Complaint,13
External Interface,Water Waste Report,13
Other,Traffic Engineering - General,13
Other,Channels/Creeks/Drainage Easement,13
E-Mail,AW - Water Waste Report,13
E-Mail,ATD - Bicycle &amp; Pedestrian Issues,13
Web,WPD - Flooding Past,13
Open311,Loud Music,13
Phone,APD - Non Emergency Hands Free Violation,13
Web,Fence/Wall Repair,13
CSR - Follow On SR,Loose Dog,13
Mobile Device,AE Street Light Issue - No Address,13
Mobile Device,Loose Animal Not Dog,13
E-Mail,ARR - Dead Animal Collection,12
Mobile Device,SBO - New Sidewalk/Curb Ramp/Route,12
Phone,ZZ ARR - Storm Debris Collection,12
Mobile Device,Roadway Spillage,12
Web,APD - Non Emergency Hands Free Violation,12
Web,APH - Environmental Health Services - County,12
Field Request,Obstruction in ROW,12
Spot311 Interface,WPD - Lost Item in Storm Drainage System,12
Mobile Device,Animal Protection - Injured/Sick Animal,12
Phone,ACD - Construction Rest Break Complaint,12
Phone,ZZ CRM - Configuration Test Waheed,12
Mobile Device,SBO - Sidewalk Repair,12
E-Mail,ARR Street Sweeping,12
Open311,Construction items in ROW,12
E-Mail,Animal Protection - Assistance Request,11
Phone,Traffic Engineering - Jurisdiction Issue,11
Other,ATD - Parking Sign Maintenance,11
E-Mail,ARR Dead Animal Collection,11
Other,ATD - Traffic Sign Emergency,11
Spot311 Interface,ACD - Construction Rest Break Complaint,11
CSR - Follow On SR,Injured / Sick Animal,11
Mobile Device,Traffic Calming,11
E-Mail,SBO - Street Resurfacing,11
Mobile Device,Bridge Repair,11
Mobile Device,Wildlife Exposure,11
Other,Bicycle Issues,11
Spot311 Interface,Road Markings/Striping - New,10
Other,APD - Vehicle Abatement Report,10
E-Mail,SBO - Debris in Street,10
Web,ZZ - Tree Issue ROW,10
Mobile Device,School Zone Flasher - Timing/Maintenance,10
Web,School Zone Flasher - Timing/Maintenance,10
E-Mail,SBO - Street and Bridge Miscellaneous,10
E-Mail,ATD - Parking Sign Maintenance,10
Phone,AFD - Wildfire Education,10
E-Mail,Curb/Gutter Repair,10
Phone,HD - Neighborhood Home Programs,10
Phone,Zz_ATD - Concerns in Right of Way,10
Web,SBO - Guardrail New/Repair,10
Spot311 Interface,Corridor Program - Corridor Feedback,10
Web,ARR - Pet Search,10
E-Mail,ARR - Spillage Trash/Fluids,10
CSR - Follow On SR,Traffic Signal - Maintenance,10
Mobile Device,ARR - Spillage Trash/Fluids,10
CSR - Follow On SR,ARR Dead Animal Collection,10
External Interface,Construction items in ROW,10
Mobile Device,School Zone - New/Review/Changes,10
Web,View Obstruction at Intersection,9
Spot311 Interface,ATD - Traffic Signal - New/Modification,9
Spot311 Interface,Austin Code - Signs/Billboards,9
E-Mail,Public Health - Environmental Services - County,9
Web,Guardrail - New,9
E-Mail,Animal Bite,9
E-Mail,Animal Protection - Animal Proper Care,9
CSR - Follow On SR,ARR Missed Yard Trimmings/Compost,9
Web,SBO - Utility Cut Repair,9
Mobile Device,Dangerous/Vicious Dog Investigation,9
Spot311 Interface,Animal Protection - Loose Animal Not Dog,9
E-Mail,Injured / Sick Animal,9
Web,Animal Services - Contact Request,9
E-Mail,ATD - Special Event,9
Other,Roadway Spillage,9
Other,DSD - Follow-Up,9
Spot311 Interface,ARR - Garbage,9
Mobile Device,Animal Protection - Loose Animal Not Dog,9
Other,Mowing City Parks,9
Phone,DSD - Billboard Complaint,9
E-Mail,Park Maintenance - Building Plumbing Issues,8
Spot311 Interface,ATD - Bicycle & Pedestrian Issues,8
Mobile Device,Newspaper Rack- ROW,8
Mobile Device,Storm Drain Pipe Services,8
Phone,ZZ Mowing Medians,8
Other,Sign - Street Name,8
Open311,Found Animal - Pick Up,8
Spot311 Interface,ARR - Compost,8
E-Mail,Animal Services - Contact Request,8
E-Mail,Zz_ARR - Storm Debris Collection,8
E-Mail,Park Maintenance - Building Issues,8
Mobile Device,DSD - Follow-Up,8
Spot311 Interface,Construction Items- ROW,8
CSR - Follow On SR,Debris in Street,8
Spot311 Interface,Bicycle Issues,8
Field Request,Austin Code - Request Code Officer,8
Spot311 Interface,Animal Protection - Wildlife Exposure,8
E-Mail,Guardrail New/Repair,8
Mobile Device,Animal Protection - Loose Dog,8
Other,Public Health - Graffiti Abatement,8
Web,ARR Dead Animal Collection,8
Field Request,Tree Issue ROW/Maintenance (PW),8
Mobile Device,SBO - Guardrail New/Repair,8
Other,Sign - New,8
Open311,Graffiti Abatement,8
Mobile Device,ATD - Parking Machine Issue,8
Spot311 Interface,SBO - Roadway Spillage,8
Web,Tree Issue ROW/Maintenance (PW),7
Web,Fence Repair - MOPAC,7
Web,AE - Electric Vehicle Station Issues,7
Spot311 Interface,Animal Protection - Animal Bite,7
E-Mail,Coyote Complaints,7
External Interface,Found Animal - Pick Up,7
Phone,zz - Coyote Compliants,7
Web,Concerns in the ROW,7
Spot311 Interface,SBO - Bridge Repair,7
Spot311 Interface,ARR - Recycling,7
E-Mail,School Zone Flasher - Timing/Maintenance,7
Spot311 Interface,Animal - Proper Care,7
Open311,Loud Commercial Music,7
Mobile Device,EV PIE Station Issues,7
Spot311 Interface,ZZ ARR - Storm Debris Collection,7
Phone,Utility Coordination - ROW,7
Phone,Basic Needs - Information Referral,7
Spot311 Interface,Creek & Pond Vegetation Control,7
Other,Road Markings/Striping - Maintenance,7
Mobile Device,ATD - Street Name Sign Maintenance,7
Mobile Device,Animal Protection - Coyote Complaints,7
Phone,PARD - Commercial Use of Parkland,7
E-Mail,WPD - Flooding Past,7
Mobile Device,Ditch/Driveway Pipe Services,7
Spot311 Interface,Guardrail New/Repair,7
Spot311 Interface,Channels/Creeks/Drainage Easement,7
Web,WPD - Lost Item in Storm Drainage System,7
Mobile Device,Flooding - Past,7
Mobile Device,PWD - Mowing Medians,7
CSR - Follow On SR,Austin Code - Short Term Rental Complaint SR,7
Mobile Device,AE - Electric Vehicle Station Issues,7
Web,ERM - Harmful Algae,6
Web,ATD - Parking Machine Issue,6
Spot311 Interface,Animal Protection - Animal In Vehicle,6
E-Mail,Traffic Calming,6
Spot311 Interface,ATD - Traffic Sign Emergency,6
Spot311 Interface,Animal Services - Contact Request,6
Web,Mowing Medians,6
E-Mail,APH - Environmental Health Services - County,6
Mobile Device,SBO - Street Resurfacing,6
Web,Tree Issue ROW/Maintenance (PARD),6
Other,Sign - Parking Sign Maintenance,6
Mobile Device,Park Maintenance - Pool Issues,6
E-Mail,ARR - Compost,6
Other,Water Waste Report,6
Spot311 Interface,Animal Protection - Vicious Dog Complaint,6
Mobile Created,Traffic Signal - Maintenance,6
E-Mail,Construction Items in ROW,6
Phone,Corridor Program - Corridor Feedback,6
E-Mail,Speed Limit - Changes/Signs,6
Mobile Device,Residential Parking Permit Enforcement,6
Mobile Device,Animal Protection - Dog Restraint Issues,6
Open311,Flooding  Current (Non-Emergency),6
Mobile Device,311 CRIS - City Vehicle Report,6
E-Mail,PARD - Commercial Use of Parkland,6
Web,PARD - Aquatic Maintenance,6
Other,Sidewalk Repair,6
Web,Animal Protection - Assistance Request,6
Other,Austin Code - Coronavirus,6
E-Mail,Dangerous/Vicious Dog Investigation,6
Spot311 Interface,ZZ Corridor Program - Corridor Feedback,6
Spot311 Interface,DSD - Billboard Complaint,6
Mobile Device,PW - School Zone - New/Review/Changes,6
E-Mail,Flooding - Past,6
E-Mail,ZZ - Tree Issue ROW,6
Mobile Device,AW - Water Theft Report,6
Mobile Created,Debris in Street,6
CSR - Follow On SR,Tree Issue ROW,6
Mobile Device,PARD - Commercial Use of Parkland,6
Other,Sidewalk/Curb Ramp/Route - NEW,6
Mobile Device,Animal In Vehicle,6
Web,AFD - Fireworks Complaint,6
Mobile Device,Community Connections - Coronavirus,5
Spot311 Interface,ZZZ ARR Dead Animal Collection,5
E-Mail,Standing Water,5
Other,ATD - Traffic Signal - Maintenance,5
CSR - Follow On SR,Obstruction in ROW,5
Mobile Device,SBO - Utility Cut Repair,5
Web,ATD - Pay-by-Phone App,5
E-Mail,APD - Vehicle Abatement Callback Request,5
Mobile Device,Town Lake Debris Issues,5
Field Request,Concerns in the ROW,5
Phone,PW - Street & Bridge General,5
Field Request,Sign - Traffic Sign Emergency,5
E-Mail,ATD - Traffic Signal - New,5
E-Mail,Animal Protection - Injured/Sick Animal,5
CSR - Follow On SR,Animal - Proper Care,5
Mobile Created,Tree Issue ROW,5
Mobile Device,Animal Protection - Wildlife Exposure,5
Phone,Zzz_Speed Limit - Changes/Signs,5
Other,ATD - Traffic Signal Maintenance,5
CSR - Follow On SR,Found Animal - Pick Up,5
Phone,ZZZ - DO NOT USE - ERM - Harmful Algae,5
Phone,CPIO - Community Engagement Project Feedback,5
CSR - Follow On SR,Dangerous/Vicious Dog Investigation,5
E-Mail,ATD - Traffic Signal - Modification,5
CSR - Follow On SR,Park Maintenance - Grounds,5
Mobile Device,Fence/Wall Repair,5
E-Mail,ATD - School Zone Sign Maintenance,5
Spot311 Interface,Traffic Engineering - General,5
Web,Loose Dog,4
E-Mail,Parking Violation Enforcement,4
Spot311 Interface,Park Maintenance - Building A/C &amp; Heating Issues,4
Other,Construction Items in ROW,4
E-Mail,School Zone - New/Review/Changes,4
Spot311 Interface,Mowing City Parks,4
CSR - Follow On SR,Alley & Unpaved Street Maintenance,4
Other,Flooding  Current (Non-Emergency),4
Mass Entry,Flood Report,4
Web,ATD - Construction Concerns in Right of Way,4
Mobile Created,ARR - Storm Debris Collection,4
E-Mail,ARR Brush and Bulk,4
Field Request,Traffic Signal - Maintenance,4
E-Mail,SBO - Utility Cut Repair,4
External Interface,School Zone Flasher - Timing/Maintenance,4
Phone,ATD - Traffic Engineering - General,4
Web,Animal Protection - Found Animal Assistance,4
Interface,Sign - New,4
Phone,CPIO - Community Voices,4
Open311,APH - Graffiti Abatement - Public Property,4
CSR - Follow On SR,Water Waste Report,4
Phone,HSEM Heat Advisory,4
Other,Public Health - Environmental Services - City,4
Mobile Device,Zz_Traffic Engineering - General,4
Open311,AW - Water Waste Report,4
Field Request,Street Light Issue- Multiple poles/multiple streets,4
Field Request,Road Markings/Striping - Maintenance,4
Web,ZZ - AFD - Fireworks Complaint,4
E-Mail,Code Compliance - Signs/Billboards,4
E-Mail,ACD - Billboard Complaint,4
Mobile Device,Park Maintenance - Building Plumbing Issues,4
External Interface,Sign - Parking Sign Maintenance,4
Web,Construction Items in ROW,4
Web,Park Maintenance - Building A/C & Heating Issues,4
E-Mail,311 CRIS - City Vehicle Report,4
Other,Traffic Signal - New/Change,4
Mobile Created,AE Street Light Issue - Address,4
Open311,ATD - Concerns in Right of Way,4
E-Mail,Park Maintenance - Pool Issues,4
CSR - Follow On SR,ARR Brush and Bulk,4
Other,Park Maintenance - Grounds Plumbing Issues,4
Mobile Device,ZZ AFD - Fireworks Complaint,4
CSR - Follow On SR,Sign - New,4
E-Mail,Bridge Repair,4
Field Request,AE Street Light Issue - Address,4
Spot311 Interface,Mowing Medians,4
E-Mail,ARR - Garbage,4
E-Mail,ATD - Booting Complaint,4
Spot311 Interface,Curb/Gutter Repair,4
E-Mail,PWD - Mowing Medians,4
Mobile Device,ARR - Brush,4
CSR - Follow On SR,Sidewalk Repair,4
E-Mail,WPD - Lady Bird Lake Debris Issues,3
External Interface,Shared Micromobility,3
Spot311 Interface,Zz_ATD - Concerns in Right of Way,3
E-Mail,Park Maintenance - Building Electrical Issues,3
Mobile Device,Corridor Program Office - Corridor Feedback,3
Walk In,Traffic Engineering - General,3
Web,Austin Code - Short Term Rental Complaint SR,3
Web,Animal Protection - Animal Proper Care,3
Open311,ATD - Traffic Sign Maintenance,3
Mobile Device,ARR - Compost,3
Field Request,View Obstruction at Intersection,3
Web,ACD - Billboard Complaint,3
Web,PARD - Commercial Use of Parkland,3
Mobile Device,Park Maintenance - Building Electrical Issues,3
CSR - Follow On SR,Loose Animal Not Dog,3
E-Mail,Animal Protection - Dangerous Dog Complaint,3
E-Mail,Loose Animal Not Dog,3
Web,Tree Issue ROW/Emergency (PW),3
Field Request,Tree Issue ROW,3
E-Mail,PW - School Zone - New/Review/Changes,3
Mobile Device,ARR - On Call Bulk,3
CSR - Follow On SR,Public Health - Environmental Services - City,3
Walk In,Sign - New,3
Other,ARR - Recycling,3
E-Mail,Code Compliance,3
Web,ARR - Garbage,3
Other,School Zone Flasher - Timing/Maintenance,3
Other,ARR - Garbage,3
E-Mail,ZZ Mowing Medians,3
Web,Sign - Traffic Sign Emergency,3
Web,CPIO - Community Engagement Project Feedback,3
Phone,zCoyote Complaints,3
Mobile Device,ARR - Dead Animal Collection,3
CSR - Follow On SR,Mowing City Parks,3
Web,ZZ Mowing Medians,3
Mobile Device,PARD - Aquatic Maintenance,3
Mobile Device,WPD - Lost Item in Storm Drainage System,3
Mobile Device,ACD - Billboard Complaint,3
Other,ATD - Concerns in Right of Way,3
CSR - Follow On SR,Sign - Traffic Sign Maintenance,3
Phone,Fence Repair - MOPAC,3
E-Mail,ATD - School Zone Beacon - Maintenance,3
CSR - Follow On SR,Traffic Engineering - General,3
External Interface,Pothole Repair,3
Web,PARD - Aquatic Program Inquiries,3
CSR - Follow On SR,Loud Commercial Music,3
E-Mail,Zz_Traffic Engineering - General,3
Spot311 Interface,School Zone - New/Review/Changes,3
Other,Mowing Medians,3
Other,ARR - General,3
Mobile Device,ZZ - AFD - Fireworks Complaint,3
Web,ATD - Bicycle & Pedestrian Issues,3
Web,ACD - Private Hauler License Violation,3
CSR - Follow On SR,Pothole Repair,3
Web,WPD - Lady Bird Lake Debris Issues,3
Spot311 Interface,ZZ - Tree Issue ROW,3
E-Mail,ARR - Special Services,3
Mobile Device,DSD - Outdoor Commercial Venue Music Complaint,3
E-Mail,Animal Protection - Coyote Complaints,3
Mobile Device,SBO - Alley & Unpaved Street Maintenance,3
Web,SBO - Bridge Repair,3
Web,Animal - Proper Care,3
Mobile Device,Animal Protection - Assistance Request,3
E-Mail,ARR Missed Recycling,3
E-Mail,Animal Protection - Found Animal Assistance,3
Mobile Created,Obstruction in ROW,3
E-Mail,EV PIE Station Issues,3
Web,Parking Violation Enforcement,3
Spot311 Interface,DSD - Private Hauler License Violation,3
CSR - Follow On SR,Concerns in the ROW,3
Web,ATD - Booting Complaint,3
E-Mail,Shared Micromobility,3
Mobile Created,Austin Code - Coronavirus,3
Other,WPD - Flooding Current,3
Mobile Device,ARR Missed Yard Trimmings/Compost,3
Mobile Device,Park Maintenance - Cemeteries,3
Web,Mowing City Parks,3
Spot311 Interface,ARR Brush and Bulk,3
E-Mail,ARR - Property Damage Report,3
Mobile Created,Channels/Creeks/Drainage Easement,3
CSR - Follow On SR,Public Health - Graffiti Abatement,3
Mobile Device,ATD - Special Event,3
CSR - Follow On SR,View Obstruction at Intersection,3
Open311,Flooding - Past,3
E-Mail,ARR - Recycling,2
Other,AE Street Light Issue - Address,2
Mobile Created,ATD - Concerns in Right of Way,2
E-Mail,PARD - Aquatic Maintenance,2
CSR - Follow On SR,Mowing Medians,2
Spot311 Interface,HD - Neighborhood Home Programs,2
Spot311 Interface,Parking Machine Issue,2
Field Request,Sidewalk/Curb Ramp/Route - NEW,2
Other,DSD - Request Code Officer,2
Other,Speed Limit - Changes/Signs,2
Open311,Tree Issue ROW,2
Mobile Device,SBO - Bridge Repair,2
CSR - Follow On SR,Park Maintenance - Grounds Plumbing Issues,2
CSR - Follow On SR,Sign - Street Name,2
Mobile Device,ARR - Bulk,2
Web,Animal Protection - Wildlife Exposure,2
CSR - Follow On SR,ACD - Request Code Officer,2
Other,ATD - School Zone Sign Maintenance,2
E-Mail,WPD - Ditch/Driveway Pipe Services,2
Web,Street Lights New,2
Field Request,Sidewalk Repair,2
Phone,ZZ Community Connections - Coronavirus,2
Web,ZZZ - Storm Drain Pipe Services,2
CSR - Follow On SR,Park Maintenance - Grounds Electrical Issues,2
Spot311 Interface,Animal Protection - Animal Roadside Sales,2
Spot311 Interface,PARD - Aquatic Program Inquiries,2
Other,Park Maintenance - Grounds Electrical Issues,2
E-Mail,Animal In Vehicle,2
Spot311 Interface,Traffic Calming,2
Web,LeadSmart Program,2
Mobile Created,ATD - Road Markings/Striping - Maintenance,2
Spot311 Interface,ACD - Private Hauler License Violation,2
Mobile Device,SBO - Curb/Gutter Repair,2
E-Mail,ZZ - AFD - Fireworks Complaint,2
CSR - Follow On SR,Park Maintenance - Pool Issues,2
Other,Bridge Repair,2
Mobile Device,ACD - Case Updates/Code Connect Messages,2
Web,Animal Protection - Animal Bite,2
Spot311 Interface,Wildlife Exposure,2
Spot311 Interface,ACD - Billboard Complaint,2
Other,PWD - Tree Issue Right of Way,2
Social Media,Traffic Signal - Maintenance,2
E-Mail,Sign - Parking Sign Maintenance,2
Spot311 Interface,Standing Water,2
Web,Park Maintenance - Cemeteries,2
Web,Construction/Permitting- ROW,2
Mobile Device,WPD - Lady Bird Lake Debris Issues,2
Web,Street Light Issue- Multiple poles/multiple streets,2
Spot311 Interface,ATD - Booting Complaint,2
Spot311 Interface,ATD - Parking Machine Issue,2
Other,APD - Non Emergency Noise/Alarm,2
E-Mail,Storm Drain Pipe Services,2
Web,ZZ Creek &amp; Pond Vegetation Control,2
Phone,ZZ CRM - Configuration Test Francois,2
CSR - Follow On SR,Shared Micromobility,2
E-Mail,SBO - Bridge Repair,2
Mobile Created,ARR - General,2
Mobile Device,ARR - Garbage,2
Mobile Device,School Issues - Crossing Guards,2
Interface,Traffic Signal - New/Change,2
E-Mail,Flooding  Current (Non-Emergency),2
E-Mail,PW - School Issues - Crossing Guards,2
E-Mail,Aquatics Hotline Inquiry,2
Field Request,Road Markings/Striping - New,2
Mail,Water Waste Report,2
Mobile Device,Lost Item in Storm Drainage System,2
Field Request,Austin Code - Signs/Billboards,2
CSR - Follow On SR,Tree Issue ROW/Emergency (PW),2
Phone,ZZZ ARR Street Sweeping,2
Mobile Device,ZZ Creek &amp; Pond Vegetation Control,2
CSR - Follow On SR,Bicycle Issues,2
Field Request,Debris in Street,2
Other,ZZ - Tree Issue ROW,2
Spot311 Interface,Animal Protection - Animal Trapped in Storm Drain,2
External Interface,Austin Code - Construction Rest Break Complaint,2
Spot311 Interface,Concerns in the ROW,2
Other,View Obstruction at Intersection,2
Other,Sign - School Zone Sign Maintenance,2
Phone,Zz_ATD - Construction Items in Right of Way,2
Mobile Device,ATD - Traffic Signal - New,2
Web,Animal Protection - Injured/Sick Animal,2
Mobile Device,ATD - Bicycle & Pedestrian Issues,2
Open311,Parking Violation Enforcement,2
Mobile Device,ATD - School Zone Sign Maintenance,2
Mobile Device,Public Health - Environmental Services - County,2
E-Mail,ARR - Brush,2
E-Mail,Tree Issue ROW/Maintenance (PARD),2
Mobile Device,Zz_ARR - Storm Debris Collection,2
Other,Park Maintenance - Building Electrical Issues,2
External Interface,Public Health - Environmental Services - City,2
E-Mail,ZZ Creek & Pond Vegetation Control,2
Web,Austin Code - Woodridge Apt,2
Open311,Sign - Parking Sign Maintenance,2
Open311,ATD - Parking Violation Enforcement,2
Mobile Device,WPD - Erosion,2
Phone,ZZAFD - Fireworks Complaint,2
Mobile Device,ZZ Creek & Pond Vegetation Control,2
Mobile Device,ATD - Traffic Signal - Modification,2
Mobile Device,Animal Roadside Sales,2
Spot311 Interface,Tree Issue ROW/Emergency (PW),2
Mobile Device,ATD - School Zone Beacon - Maintenance,2
Other,Parking Machine Issue,2
CSR - Follow On SR,ARR Street Sweeping,2
Spot311 Interface,APH - Health Equity Line,2
Field Request,Roadway Spillage,2
Spot311 Interface,Sign - School Zone Sign Maintenance,2
Other,Construction/Permitting- ROW,2
Phone,Emergency Vehicle Preemption Device,2
Other,ARR - Street Sweeping,2
CSR - Follow On SR,AW - Water Conservation Violation,2
E-Mail,Animal Protection - Loose Animal Not Dog,1
Mobile Created,ATD - Construction Items in Right of Way,1
E-Mail,AW - Water Theft Report,1
Spot311 Interface,Coyote Complaints,1
